FragmentID,SMILES,
Z1544608062,CC1=CN(C(=O)N(CC(=O)N2CCC=3C=C(C=CC32)[N+]([O-])=O)C1=O)C4CC(O)C(CO)O4,
Z107297016,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)N3CCN(CC3)C(=O)C4=CC=CS4,
Z1818986429,CCN1C=C(C#N)C(=O)N(CCCN2CCN(CC2)C(C)C)C1=O,
Z1980898745,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=NC=3C(=NC=NC32)N4CCC=5C=CC=CC54,
Z1980978363,OCCC(NC=1N=CN=C2C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C4CCCCC4,
Z1672739450,O=C1C(F)=CN(C(=O)N1CC(O)CCC=2C=CC=CC2)C3CCCO3,
Z382734618,CN(C)C(=O)N1CCN(CC2=CC(=O)N(C)C(=O)N2C)CC1,
Z821318386,N#CC1=CN(C(=O)N(CCCN2CCCC2=O)C1=O)C3CC3,
Z1544608199,CC1=CN(C(=O)N(CC2=CC(C)=NC3=CC=CC=C23)C1=O)C4CC(O)C(CO)O4,
Z212240750,CN1C(=O)C=C(CN2CCN(CCO)CC2)N(C)C1=O,
Z212212618,CCCN1CCN(CC2=CC(=O)N(C)C(=O)N2C)CC1,
Z822176618,CCN1C=C(C#N)C(=O)N(CC(O)CN2CCC(C)CC2)C1=O,
Z995340470,N#CC1=CN(C(=O)N(CCC(=O)NC=2C=CC=CC2)C1=O)C3CC3,
Z1190346088,CCN1C=C(C#N)C(=O)N(CC(F)F)C1=O,
Z1263820433,Cl.NC=1C=CC=C(N1)C(=O)N2CCCC2CO,
Z1162463429,CC1=CN(C(=O)NC1=O)C2CC(O)C(CO)O2,
Z1341543331,NC=1N=CN=C2C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,
Z1341535564,CCN1C=C(C#N)C(=O)N(CCCNC(=O)C2CCCC2)C1=O,
Z135417488,O=C(CN1C=CC(=O)NC1=O)NC2CCCCC2,
Z2025567901,CC(=O)OCCOCN1C=NC=2C(=O)NC(N)=NC21,
Z2752584332,"Cl.CN1C=C(C=N1)[C@H]2[C@H](C(=O)O)[C@H](O)C(=O)N2C |&1:7,8,12,r|",
Z1431068613,NC=1N=CC=C(N1)N2CCCC2CO,
Z107295666,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)N3CCC(CC=4C=CC=CC4)CC3,
Z94559553,CC1=CC(C(=O)CN2C(=O)C(F)=CN(C2=O)C3CCCO3)=C(C)N1CC4=CC=CS4,
Z104508106,O=C1NC(=O)N(C=C1F)C2CCCO2,
Z56786759,CC1=CN(C(=O)NC1=O)C2OC(COC(=O)C=3C=CC=CC3)C(O)C2O,
Z94557672,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)N(CCC=3C=CC=CC3)CC=4C=CC=CC4,
Z56777074,CC(=O)OCC1OC(C(OC(C)=O)C1OC(C)=O)N2C(=NC3=C(N)N=CN=C32)S(C)(=O)=O,
Z666560160,CN1CCN(CC=2C=CC(=CC2)CN3C=C(C#N)C(=O)NC3=O)CC1,
Z2760966296,O=C1CN(CN1CC2CC2)C=3N=CN=C4C3N=CN4CC5(CO)CCOCC5,
